,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Thursday,1,Daylight,Urban,Cloudy,1
0,Utah,FAIRVIEW,SANPETE (39),2022,Saturday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,PARAGONAH,IRON (21),2022,Friday,0,Daylight,Rural,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Wednesday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Thursday,0,Daylight,Urban,Cloudy,1
0,Utah,RANDOLPH,RICH (33),2022,Sunday,0,Daylight,Rural,Clear,1
0,Utah,TEASDALE,WAYNE (55),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,HURRICANE,WASHINGTON (53),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Tuesday,0,Dark - Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Sunday,0,Dark - Lighted,Urban,Clear,1
0,Utah,LOGAN,CACHE (5),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Tuesday,0,Dark - Lighted,Urban,Clear,1
0,Utah,BLUFFDALE,SALT LAKE (35),2022,Monday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,NORTH SALT LAKE,DAVIS (11),2022,Thursday,1,Daylight,Urban,Cloudy,1
0,Utah,THOMPSON SPRINGS,GRAND (19),2022,Friday,0,Daylight,Rural,Clear,1
0,Utah,WASHINGTON,WASHINGTON (53),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Wednesday,0,Daylight,Urban,Clear,1
0,Utah,MOUNT PLEASANT,SANPETE (39),2022,Sunday,0,Daylight,Rural,Cloudy,1
0,Utah,BEAVER,BEAVER (1),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,WEST BOUNTIFUL,DAVIS (11),2022,Thursday,1,Daylight,Urban,Clear,1
0,Utah,PARAGONAH,IRON (21),2022,Wednesday,1,Daylight,Rural,Clear,1
0,Utah,LEHI,UTAH (49),2022,Thursday,1,Dark - Lighted,Urban,Clear,2
0,Utah,ST. GEORGE,WASHINGTON (53),2022,Sunday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,MOUNTAIN GREEN,MORGAN (29),2022,Thursday,1,Daylight,Rural,Cloudy,1
0,Utah,SOLDIER SUMMIT,WASATCH (51),2022,Friday,1,Daylight,Rural,Cloudy,2
0,Utah,LEHI,UTAH (49),2022,Friday,0,Daylight,Urban,Cloudy,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Thursday,0,Daylight,Urban,Clear,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Wednesday,0,Dark - Lighted,Urban,Cloudy,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,Other,WEBER (57),2022,Monday,0,Daylight,Urban,Clear,1
0,Utah,DRAPER,SALT LAKE (35),2022,Sunday,1,Dark - Lighted,Urban,Rain,1
0,Utah,HUNTINGTON,EMERY (15),2022,Saturday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,SOUTH SALT LAKE,SALT LAKE (35),2022,Saturday,1,Daylight,Urban,Cloudy,1
0,Utah,MURRAY,SALT LAKE (35),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,SUNSET,DAVIS (11),2022,Thursday,1,Daylight,Urban,Clear,1
